x,y,ymin,ymax,se,flipped_aes,PANEL,group,colour,fill,size,linetype,weight,alpha
18699.6329113924,-16.8477077284749,-17.5358722451294,-16.1595432118205,0.351110796975165,FALSE,1,-1,#D21D5C,grey60,1,1,1,0.4
18700.0253164557,-16.8211765743538,-17.5097604889573,-16.1325926597503,0.351324779452553,FALSE,1,-1,#D21D5C,grey60,1,1,1,0.4
18700.417721519,-16.7873394740784,-17.4777662632029,-16.0969126849538,0.352265038832634,FALSE,1,-1,#D21D5C,grey60,1,1,1,0.4
18700.8101265823,-16.7461286147338,-17.4387221376876,-16.05353509178,0.353370535589887,FALSE,1,-1,#D21D5C,grey60,1,1,1,0.4
18701.2025316456,-16.6974761834043,-17.3910922675588,-16.0038600992499,0.353892260074981,FALSE,1,-1,#D21D5C,grey60,1,1,1,0.4
18701.5949367089,-16.6413453147328,-17.3335516434025,-15.9491389860631,0.35317298385571,FALSE,1,-1,#D21D5C,grey60,1,1,1,0.4
18701.9873417722,-16.5780589087225,-17.2667809582414,-15.8893368592036,0.351395257745268,FALSE,1,-1,#D21D5C,grey60,1,1,1,0.4
18702.3797468354,-16.5081719720585,-17.1928387682627,-15.8235051758542,0.349326212932902,FALSE,1,-1,#D21D5C,grey60,1,1,1,0.4
18702.7721518987,-16.4322433798724,-17.1137275987138,-15.7507591610309,0.347702419134688,FALSE,1,-1,#D21D5C,grey60,1,1,1,0.4
18703.164556962,-16.3508320072953,-17.0309584021654,-15.6707056124251,0.347009639072403,FALSE,1,-1,#D21D5C,grey60,1,1,1,0.4
18703.5569620253,-16.2644967294591,-16.9452950393487,-15.5836984195695,0.347352459157247,FALSE,1,-1,#D21D5C,grey60,1,1,1,0.4
18703.9493670886,-16.1737964214932,-16.8567000753942,-15.4908927675922,0.348426634003308,FALSE,1,-1,#D21D5C,grey60,1,1,1,0.4
18704.3417721519,-16.0792899585295,-16.7644935454961,-15.3940863715629,0.34960009080342,FALSE,1,-1,#D21D5C,grey60,1,1,1,0.4
18704.7341772152,-15.9815362156999,-16.6676997818325,-15.2953726495674,0.350089885092239,FALSE,1,-1,#D21D5C,grey60,1,1,1,0.4
18705.1265822785,-15.8811596579421,-16.5658382644219,-15.1964810514624,0.349332238694387,FALSE,1,-1,#D21D5C,grey60,1,1,1,0.4
18705.5189873418,-15.7791517712923,-16.4606702541865,-15.0976332883982,0.347719901115472,FALSE,1,-1,#D21D5C,grey60,1,1,1,0.4
18705.9113924051,-15.6766316344609,-16.3548596637263,-14.9984036051955,0.346041067394704,FALSE,1,-1,#D21D5C,grey60,1,1,1,0.4
18706.3037974684,-15.5747184542604,-16.2508856453467,-14.8985512631741,0.344989600023179,FALSE,1,-1,#D21D5C,grey60,1,1,1,0.4
18706.6962025316,-15.4745314375065,-16.1506534193114,-14.7984094557016,0.344966533639433,FALSE,1,-1,#D21D5C,grey60,1,1,1,0.4
18707.0886075949,-15.3771897910136,-16.0552831332402,-14.6990964487869,0.345972348255043,FALSE,1,-1,#D21D5C,grey60,1,1,1,0.4
18707.4810126582,-15.2838127215971,-15.9651095565294,-14.6025158866648,0.347606813342643,FALSE,1,-1,#D21D5C,grey60,1,1,1,0.4
18707.8734177215,-15.1955194360698,-15.879892750745,-14.5111461213946,0.349176474707413,FALSE,1,-1,#D21D5C,grey60,1,1,1,0.4
18708.2658227848,-15.1134288433312,-15.799206690592,-14.4276509960703,0.349893086133309,FALSE,1,-1,#D21D5C,grey60,1,1,1,0.4
18708.6582278481,-15.0383631279061,-15.7231036545728,-14.3536226012395,0.349363831206989,FALSE,1,-1,#D21D5C,grey60,1,1,1,0.4
18709.0506329114,-14.9702909448679,-15.6526591612008,-14.287922728535,0.348153446550709,FALSE,1,-1,#D21D5C,grey60,1,1,1,0.4
18709.4430379747,-14.9090284162802,-15.5892269441458,-14.2288298884146,0.34704644229737,FALSE,1,-1,#D21D5C,grey60,1,1,1,0.4
18709.835443038,-14.8543916642063,-15.5338652910143,-14.1749180373983,0.346676588022844,FALSE,1,-1,#D21D5C,grey60,1,1,1,0.4
18710.2278481013,-14.8061968107083,-15.4869892394525,-14.1254043819641,0.347349458517718,FALSE,1,-1,#D21D5C,grey60,1,1,1,0.4
18710.6202531646,-14.7642599778497,-15.4482108967542,-14.0803090589451,0.348960962701083,FALSE,1,-1,#D21D5C,grey60,1,1,1,0.4
18711.0126582279,-14.7283972876933,-15.4163931174842,-14.0404014579024,0.351024730667352,FALSE,1,-1,#D21D5C,grey60,1,1,1,0.4
18711.4050632911,-14.6984248623025,-15.3899049634734,-14.0069447611315,0.352802452813061,FALSE,1,-1,#D21D5C,grey60,1,1,1,0.4
18711.7974683544,-14.6741580918852,-15.3670528570421,-13.9812633267284,0.353524233415676,FALSE,1,-1,#D21D5C,grey60,1,1,1,0.4
18712.1898734177,-14.6553684553937,-15.3472446135393,-13.9634922972481,0.353004526411204,FALSE,1,-1,#D21D5C,grey60,1,1,1,0.4
18712.582278481,-14.6417593693317,-15.3314654274163,-13.952053311247,0.351897312157247,FALSE,1,-1,#D21D5C,grey60,1,1,1,0.4
