y,x,group,tooltip,data_id,PANEL,flipped_aes,colour,size,linetype,alpha,x_date
23,18721,3,"Sample 3, San Antonio","Sample 3, San Antonio",1,FALSE,black,0.5,1,,2021-04-04
23,18722,3,"Sample 3, San Antonio","Sample 3, San Antonio",1,FALSE,black,0.5,1,,2021-04-05
6,18691,4,"Sample 4, Los Angeles","Sample 4, Los Angeles",1,FALSE,black,0.5,1,,2021-03-05
5,18692,4,"Sample 4, Los Angeles","Sample 4, Los Angeles",1,FALSE,black,0.5,1,,2021-03-06
5,18693,4,"Sample 4, Los Angeles","Sample 4, Los Angeles",1,FALSE,black,0.5,1,,2021-03-07
5,18694,4,"Sample 4, Los Angeles","Sample 4, Los Angeles",1,FALSE,black,0.5,1,,2021-03-08
5,18695,4,"Sample 4, Los Angeles","Sample 4, Los Angeles",1,FALSE,black,0.5,1,,2021-03-09
5,18696,4,"Sample 4, Los Angeles","Sample 4, Los Angeles",1,FALSE,black,0.5,1,,2021-03-10
4,18697,4,"Sample 4, Los Angeles","Sample 4, Los Angeles",1,FALSE,black,0.5,1,,2021-03-11
4,18698,4,"Sample 4, Los Angeles","Sample 4, Los Angeles",1,FALSE,black,0.5,1,,2021-03-12
4,18699,4,"Sample 4, Los Angeles","Sample 4, Los Angeles",1,FALSE,black,0.5,1,,2021-03-13
4,18700,4,"Sample 4, Los Angeles","Sample 4, Los Angeles",1,FALSE,black,0.5,1,,2021-03-14
7,18701,4,"Sample 4, Los Angeles","Sample 4, Los Angeles",1,FALSE,black,0.5,1,,2021-03-15
8,18702,4,"Sample 4, Los Angeles","Sample 4, Los Angeles",1,FALSE,black,0.5,1,,2021-03-16
9,18703,4,"Sample 4, Los Angeles","Sample 4, Los Angeles",1,FALSE,black,0.5,1,,2021-03-17
8,18704,4,"Sample 4, Los Angeles","Sample 4, Los Angeles",1,FALSE,black,0.5,1,,2021-03-18
6,18705,4,"Sample 4, Los Angeles","Sample 4, Los Angeles",1,FALSE,black,0.5,1,,2021-03-19
6,18706,4,"Sample 4, Los Angeles","Sample 4, Los Angeles",1,FALSE,black,0.5,1,,2021-03-20
6,18707,4,"Sample 4, Los Angeles","Sample 4, Los Angeles",1,FALSE,black,0.5,1,,2021-03-21
6,18708,4,"Sample 4, Los Angeles","Sample 4, Los Angeles",1,FALSE,black,0.5,1,,2021-03-22
6,18709,4,"Sample 4, Los Angeles","Sample 4, Los Angeles",1,FALSE,black,0.5,1,,2021-03-23
6,18710,4,"Sample 4, Los Angeles","Sample 4, Los Angeles",1,FALSE,black,0.5,1,,2021-03-24
6,18711,4,"Sample 4, Los Angeles","Sample 4, Los Angeles",1,FALSE,black,0.5,1,,2021-03-25
6,18712,4,"Sample 4, Los Angeles","Sample 4, Los Angeles",1,FALSE,black,0.5,1,,2021-03-26
6,18713,4,"Sample 4, Los Angeles","Sample 4, Los Angeles",1,FALSE,black,0.5,1,,2021-03-27
6,18714,4,"Sample 4, Los Angeles","Sample 4, Los Angeles",1,FALSE,black,0.5,1,,2021-03-28
6,18715,4,"Sample 4, Los Angeles","Sample 4, Los Angeles",1,FALSE,black,0.5,1,,2021-03-29
6,18716,4,"Sample 4, Los Angeles","Sample 4, Los Angeles",1,FALSE,black,0.5,1,,2021-03-30
6,18717,4,"Sample 4, Los Angeles","Sample 4, Los Angeles",1,FALSE,black,0.5,1,,2021-03-31
6,18718,4,"Sample 4, Los Angeles","Sample 4, Los Angeles",1,FALSE,black,0.5,1,,2021-04-01
6,18719,4,"Sample 4, Los Angeles","Sample 4, Los Angeles",1,FALSE,black,0.5,1,,2021-04-02
6,18720,4,"Sample 4, Los Angeles","Sample 4, Los Angeles",1,FALSE,black,0.5,1,,2021-04-03
6,18721,4,"Sample 4, Los Angeles","Sample 4, Los Angeles",1,FALSE,black,0.5,1,,2021-04-04
6,18722,4,"Sample 4, Los Angeles","Sample 4, Los Angeles",1,FALSE,black,0.5,1,,2021-04-05
14,18691,5,"Sample 5, Los Angeles","Sample 5, Los Angeles",1,FALSE,black,0.5,1,,2021-03-05
15,18692,5,"Sample 5, Los Angeles","Sample 5, Los Angeles",1,FALSE,black,0.5,1,,2021-03-06
17,18693,5,"Sample 5, Los Angeles","Sample 5, Los Angeles",1,FALSE,black,0.5,1,,2021-03-07
17,18694,5,"Sample 5, Los Angeles","Sample 5, Los Angeles",1,FALSE,black,0.5,1,,2021-03-08
17,18695,5,"Sample 5, Los Angeles","Sample 5, Los Angeles",1,FALSE,black,0.5,1,,2021-03-09
17,18696,5,"Sample 5, Los Angeles","Sample 5, Los Angeles",1,FALSE,black,0.5,1,,2021-03-10
17,18697,5,"Sample 5, Los Angeles","Sample 5, Los Angeles",1,FALSE,black,0.5,1,,2021-03-11
16,18698,5,"Sample 5, Los Angeles","Sample 5, Los Angeles",1,FALSE,black,0.5,1,,2021-03-12
17,18699,5,"Sample 5, Los Angeles","Sample 5, Los Angeles",1,FALSE,black,0.5,1,,2021-03-13
18,18700,5,"Sample 5, Los Angeles","Sample 5, Los Angeles",1,FALSE,black,0.5,1,,2021-03-14
18,18701,5,"Sample 5, Los Angeles","Sample 5, Los Angeles",1,FALSE,black,0.5,1,,2021-03-15
